Original,Furigana,Indonesia,JLPT Level
診る,みる,memeriksa (secara medis),N2
民間,みんかん,"swasta, sipil",N2
民主～,みんしゅ～,demokratis,N2
民謡,みんよう,"lagu rakyat, lagu populer",N2
無限,むげん,tak terbatas,N2
無地,むじ,polos,N2
蒸し暑い,むしあつい,"lembab, gerah",N2
矛盾,むじゅん,"kontradiksi, inkonsistensi",N2
無数,むすう,"tak terhitung jumlahnya, tak terbatas jumlahnya",N2
紫,むらさき,"warna ungu, ungu",N2
群れ,むれ,"kerumunan, kawanan, gerombolan",N2
姪,めい,keponakan perempuan,N2
名～,めい～,terkenal ~,N2
名作,めいさく,karya besar,N2
名詞,めいし,kata benda,N2
名刺,めいし,kartu nama,N2
名所,めいしょ,tempat terkenal,N2
迷信,めいしん,takhayul,N2
命ずる,めいずる,"memerintahkan, menunjuk",N2
名物,めいぶつ,"produk terkenal, produk khusus, keistimewaan",N2
銘々,めいめい,"masing-masing, individu",N2
恵まれる,めぐまれる,"diberkati dengan, kaya akan",N2
巡る,めぐる,berkeliling,N2
目指す,めざす,"membidik, mengincar",N2
目覚し,めざまし,jam weker,N2
目下,めした,"saat ini, sekarang",N2
目印,めじるし,"tanda, tanda, tengara",N2
目立つ,めだつ,"mencolok, menonjol",N2
めちゃくちゃ,めちゃくちゃ,"absurd, berantakan, hancur",N2
めっきり,めっきり,sangat,N2
めでたい,めでたい,"bahagia, menguntungkan, gembira",N2
メニュー,メニュー,menu,N2
めまい,めまい,"pusing, pening",N2
目安,めやす,"kriteria, tujuan",N2
免税,めんぜい,pembebasan pajak,N2
面積,めんせき,area,N2
面接,めんせつ,wawancara,N2
面倒臭い,めんどうくさい,"repot, melelahkan",N2
モーター,モーター,motor,N2
儲かる,もうかる,"menguntungkan, menghasilkan keuntungan",N2
儲ける,もうける,"mendapatkan, memiliki (melahirkan, melahirkan) seorang anak",N2
申し訳ない,もうしわけない,"tidak bisa dimaafkan, saya minta maaf",N2
木材,もくざい,"kayu, kayu, kayu",N2
目次,もくじ,daftar isi,N2
潜る,もぐる,"menyelam, melewati; menghindari, bersembunyi",N2
もしかしたら,もしかしたら,"mungkin, barangkali, secara kebetulan",N2
もたれる,もたれる,"bersandar, bersandar pada",N2
凭れる,もたれる,"bersandar, bersandar pada, berbaring pada",N2
モダン,モダン,modern,N2
餅,もち,kue beras ketan,N2
モデル,モデル,model fesyen,N2
元々,もともと,"awalnya, secara alami, sejak awal",N2
物置,ものおき,ruang penyimpanan,N2
物語る,ものがたる,"menceritakan, menunjukkan",N2
物差し,ものさし,"penggaris, ukuran",N2
物凄い,ものすごい,"menggemparkan, mengejutkan, sangat hebat",N2
モノレール,モノレール,monorel,N2
紅葉,もみじ,mapel (Jepang),N2
揉む,もむ,"menggosok, meremas, mengerutkan",N2
もやす,もやす,membakar,N2
催し,もよおし,"acara, perayaan, fungsi",N2
盛る,もる,menyajikan (makanan); mengisi; meresepkan,N2
問答,もんどう,"tanya jawab, dialog",N2
やかましい,やかましい,"rewel, terlalu kritis",N2
喧しい,やかましい,"berisik, keras, riuh, gaduh",N2
夜間,やかん,"malam hari, malam hari",N2
やかん,やかん,ketel,N2
やかん,やかん,ketel,N2
役者,やくしゃ,aktor,N2
役所,やくしょ,"kantor pemerintah, kantor publik",N2
役人,やくにん,pejabat pemerintah,N2
薬品,やくひん,"obat-obatan, bahan kimia",N2
役目,やくめ,"tugas, bisnis",N2
火傷,やけど,"luka bakar, tersiram air panas",N2
夜行,やこう,"kereta malam, perjalanan malam",N2
矢印,やじるし,panah penunjuk arah,N2
やたらに,やたらに,"secara acak, sembrono, membabi buta",N2
薬局,やっきょく,"apotek, toko obat",N2
やっつける,やっつける,"menyerang (musuh), memukul, menghabisi",N2
やっぱり,やっぱり,"bagaimanapun, pokoknya",N2
家主,やぬし,tuan tanah,N2
破く,やぶく,merobek,N2
やむをえない,やむをえない,"tidak bisa dihindari, tidak terelakkan",N2
軟らかい,やわらかい,"lembut, empuk, lemas",N2
遊園地,ゆうえんち,taman hiburan,N2
夕刊,ゆうかん,koran sore,N2
友好,ゆうこう,persahabatan,N2
郵送,ゆうそう,pengiriman surat,N2
夕立,ゆうだち,hujan (tiba-tiba) sore,N2
夕日,ゆうひ,"(di) matahari sore, matahari terbenam",N2
悠々,ゆうゆう,"tenang, tenang, santai",N2
有料,ゆうりょう,"berbayar, tol",N2
浴衣,ゆかた,"jubah mandi, kimono musim panas informal",N2
行方,ゆくえ,keberadaan seseorang,N2
湯気,ゆげ,uap,N2
輸血,ゆけつ,transfusi darah,N2
輸送,ゆそう,"transportasi, transportasi",N2
油断,ゆだん,"kelalaian, ketidaksiapan",N2
湯飲み,ゆのみ,cangkir teh,N2
湯飲,ゆのみ,cangkir teh,N2
緩い,ゆるい,"longgar, lunak, lambat",N2
溶岩,ようがん,lava,N2
容器,ようき,"wadah, wadah, bejana, kemasan",N2
用語,ようご,"istilah, terminologi",N2
要旨,ようし,"intisari, esensi, ringkasan",N2
幼児,ようじ,"bayi, bayi, anak",N2
容積,ようせき,"kapasitas, volume",N2
幼稚,ようち,"bayi, kekanak-kanakan, infantil",N2
幼稚園,ようちえん,taman kanak-kanak,N2
用途,ようと,"penggunaan, kegunaan",N2
洋品店,ようひんてん,toko pakaian,N2
養分,ようぶん,"nutrisi, nutrisi",N2
羊毛,ようもう,wol,N2
漸く,ようやく,"akhirnya, akhirnya, hampir tidak",N2
要領,ようりょう,"intisari, esensi, garis besar",N2
翌～,よく～,berikutnya ~,N2
欲張り,よくばり,serakah,N2
余計,よけい,"terlalu banyak, tidak perlu, kelimpahan, kelebihan, kelebihan, kelebihan",N2
よこす,よこす,"mengirim, meneruskan; menyerahkan (misalnya uang)",N2
よごす,よごす,"(1) mempermalukan, mencemarkan nama baik, (2) mencemari, mengkontaminasi, mengotori, membuat kotor, menodai",N2
寄せる,よせる,"mendekat, membiarkan seseorang mendekat untuk mendekatkan, menyatukan, mengumpulkan, mengumpulkan untuk menyampaikan (pendapat, berita, dll.), mengirim (misalnya surat), menyumbang, menyumbang untuk membiarkan seseorang mampir",N2
余所,よそ,"tempat lain, tempat lain, bagian asing",N2
四つ角,よつかど,"empat sudut, persimpangan",N2
酔っ払い,よっぱらい,pemabuk,N2
予備,よび,"persiapan, cadangan",N2
呼び掛ける,よびかける,"memanggil, menyapa, menyapa (kerumunan), memohon",N2
呼び出す,よびだす,"memanggil, menelepon (misalnya telepon)",N2
蘇る,よみがえる,"dibangkitkan, dihidupkan kembali",N2
慶ぶ,よろこぶ,"senang, gembira",N2
来日,らいにち,"datang ke Jepang, kunjungan ke Jepang",N2
落第,らくだい,"kegagalan, putus sekolah",N2
ラッシュアワー,ラッシュアワー,jam sibuk,N2
欄,らん,"kolom teks (misalnya seperti di koran)",N2
ランチ,ランチ,makan siang,N2
ランニング,ランニング,berlari; tank top,N2
乱暴,らんぼう,"kasar, keras, kasar",N2
理科,りか,sains,N2
利害,りがい,"keuntungan dan kerugian, bunga",N2
リズム,リズム,ritme,N2
リットル,リットル,liter,N2
リポート,リポート,"laporan, makalah",N2
リボン,リボン,pita,N2
略す,りゃくす,menyingkat,N2
流域,りゅういき,cekungan (sungai),N2
寮,りょう,"asrama, asrama",N2
両～,りょう～,keduanya ~,N2
両側,りょうがわ,kedua sisi,N2
漁師,りょうし,nelayan,N2
領事,りょうじ,konsul,N2
領収,りょうしゅう,"kuitansi, voucher",N2
臨時,りんじ,"sementara, khusus, luar biasa",N2
留守番,るすばん,"penjaga, penjaga, penjaga rumah",N2
例外,れいがい,pengecualian,N2
零点,れいてん,"nol, tidak ada nilai",N2
冷凍,れいとう,"pembekuan, penyimpanan dingin, pendinginan",N2
レインコート,レインコート,jas hujan,N2
レクリェーション,レクリェーション,rekreasi,N2
レジャー,レジャー,waktu luang,N2
列島,れっとう,rantai pulau,N2
煉瓦,れんが,bata,N2
連合,れんごう,"persatuan, aliansi",N2
レンズ,レンズ,lensa,N2
ローマ字,ローマじ,"romanisasi, huruf Romawi (alfabet)",N2
ろうそく,ろうそく,lilin,N2
録音,ろくおん,rekaman (audio),N2
ロッカー,ロッカー,loker,N2
ロビー,ロビー,lobi,N2
論ずる,ろんずる,"berdebat, berdiskusi",N2
和～,わ～,gaya Jepang,N2
和英,わえい,Jepang-Inggris,N2
我～,わが～,~ kami,N2
分かれる,わかれる,"bercabang, bercabang, menyimpang untuk memisahkan, membelah, membagi untuk menyebar, menyebar",N2
若々しい,わかわかしい,"muda, muda",N2
詫びる,わびる,meminta maaf,N2
和服,わふく,pakaian Jepang,N2
割合に,わりあいに,"secara relatif, secara komparatif",N2
割算,わりざん,pembagian (matematika),N2
割と,わりと,"secara relatif, secara komparatif",N2
割引,わりびき,diskon,N2
ワンピース,ワンピース,gaun terusan,N2
作法,さほう,"sopan santun, etiket, kepantasan",N3
様々,さまざま,"bervariasi, bermacam-macam",N3
冷ます,さます,"mendinginkan, membiarkan dingin",N3
覚ます,さます,membangunkan,N3
冷める,さめる,"menjadi dingin, hilang",N3
覚める,さめる,"bangun, bangun",N3
左右,さゆう,kiri dan kanan; pengaruh,N3
皿,さら,"piring, piring",N3
更に,さらに,"selanjutnya, terlebih lagi",N3
去る,さる,"meninggalkan, pergi",N3
猿,さる,monyet,N3
騒ぎ,さわぎ,"keributan, gangguan",N3
参加,さんか,partisipasi,N3
参考,さんこう,"referensi, konsultasi",N3
賛成,さんせい,"persetujuan, persetujuan",N3
酸性,さんせい,keasaman,N3
酸素,さんそ,oksigen,N3
氏,し,"nama keluarga, garis keturunan",N3
詩,し,puisi; puisi,N3
幸せ,しあわせ,"kebahagiaan, berkah",N3
ジーンズ,ジーンズ,jeans,N3
ジェット機,ジェットき,pesawat jet,N3
四角,しかく,persegi,N3
直に,じかに,"segera, siap, langsung",N3
しかも,しかも,"terlebih lagi, selanjutnya, selain itu, plus",N3
四季,しき,empat musim,N3
直,じき,"segera, segera, segera",N3
時期,じき,"waktu, musim, periode",N3
支給,しきゅう,"pembayaran, tunjangan",N3
至急,しきゅう,"mendesak, mendesak",N3
しきりに,しきりに,"sering, berulang kali, dengan penuh semangat",N3
刺激,しげき,"rangsangan, dorongan, insentif",N3
資源,しげん,sumber daya,N3
事件,じけん,"peristiwa, urusan, insiden",N3
時刻,じこく,"waktu, jam",N3
自殺,じさつ,bunuh diri,N3
事実,じじつ,"fakta, kebenaran, realitas",N3
支出,ししゅつ,"pengeluaran, biaya",N3
事情,じじょう,"keadaan, situasi, alasan",N3
詩人,しじん,penyair,N3
自身,じしん,diri sendiri,N3
沈む,しずむ,tenggelam; merasa tertekan,N3
自然,しぜん,"alam, spontan",N3
思想,しそう,"pikiran, ide",N3
舌,した,lidah,N3
次第,しだい,urutan; keadaan; segera,N3
従う,したがう,"mematuhi (aturan), menaati",N3
したがって,したがって,"oleh karena itu, akibatnya",N3
親しい,したしい,"akrab, dekat (misalnya teman)",N3
質,しつ,"kualitas, sifat (orang)",N3
失業,しつぎょう,pengangguran,N3
湿気,しっけ,"kelembaban, kelembaban, kelembaban",N3
実験,じっけん,pekerjaan laboratorium; percobaan,N3
実現,じつげん,"implementasi, perwujudan, realisasi",N3
実行,じっこう,"praktek, eksekusi (misalnya program), realisasi",N3
実際,じっさい,sebenarnya; pada kenyataannya,N3
実施,じっし,"penegakan, melaksanakan, operasi",N3
湿度,しつど,kelembaban,N3
じっと,じっと,"dengan sabar, dengan tenang",N3
実に,じつに,"sungguh, benar-benar, pasti",N3
実は,じつは,sebenarnya; pada kenyataannya,N3
失望,しつぼう,"kekecewaan, keputusasaan",N3
実力,じつりょく,kemampuan; kekuatan,N3
支店,してん,toko cabang (kantor),N3
指導,しどう,"kepemimpinan, bimbingan, pembinaan",N3
自動,じどう,"otomatis, gerak sendiri",N3
児童,じどう,"anak-anak, remaja",N3
品,しな,"barang, artikel, barang",N3
支配,しはい,"aturan, kontrol, arahan",N3
芝居,しばい,"drama, drama",N3
しばしば,しばしば,"sering, berulang kali, sering",N3
芝生,しばふ,halaman rumput,N3
支払,しはらい,pembayaran,N3
支払う,しはらう,membayar,N3
死亡,しぼう,kematian,N3
資本,しほん,"dana, modal",N3
姉妹,しまい,saudara perempuan,N3
しまった (かん),しまった (かん),Sialan!,N3
自慢,じまん,"kesombongan, kebanggaan",N3
地味,じみ,"tenang, polos, konservatif",N3
示す,しめす,"menunjukkan, menunjukkan",N3
占める,しめる,mengambil; menyumbang,N3
湿る,しめる,"menjadi basah, menjadi lembab",N3
下,しも,"di bawah, di bawah, di bawah",N3
霜,しも,embun beku,N3
借金,しゃっきん,"utang, pinjaman, kewajiban",N3
しゃべる,しゃべる,"berbicara, mengobrol, mengobrol (sama dengan 話す (はなす))",N3
週,しゅう,minggu,N3
州,しゅう,"negara bagian, provinsi",N3
銃,じゅう,senjata,N3
周囲,しゅうい,"sekitar, lingkar, lingkungan",N3
収穫,しゅうかく,"panen, tanaman, pengumpulan",N3
宗教,しゅうきょう,agama,N3
重視,じゅうし,"penting, stres",N3
就職,しゅうしょく,mencari pekerjaan,N3
ジュース,ジュース,"jus, minuman ringan; deuce",N3
修正,しゅうせい,"amandemen, koreksi",N3
重体,じゅうたい,"sakit parah, keadaan kritis",N3
渋滞,じゅうたい,"kemacetan (misalnya lalu lintas), keterlambatan",N3
重大,じゅうだい,"serius, penting",N3
住宅,じゅうたく,"penduduk, perumahan",N3
集団,しゅうだん,"kelompok, massa",N3
集中,しゅうちゅう,"konsentrasi, memfokuskan pikiran",N3
収入,しゅうにゅう,"pendapatan, pendapatan",N3
住民,じゅうみん,"penduduk, warga",N3
重要,じゅうよう,"penting, esensial",N3
修理,しゅうり,"memperbaiki, menambal",N3
主義,しゅぎ,"doktrin, penyebab, prinsip",N3
宿泊,しゅくはく,penginapan,N3
手術,しゅじゅつ,operasi bedah,N3
首相,しゅしょう,Perdana Menteri,N3
手段,しゅだん,"sarana, cara, ukuran",N3
主張,しゅちょう,"klaim, desakan, penegasan",N3
出場,しゅつじょう,partisipasi,N3
出身,しゅっしん,berasal dari,N3
出版,しゅっぱん,publikasi,N3
首都,しゅと,ibu kota,N3
主婦,しゅふ,ibu rumah tangga,N3
主要,しゅよう,"utama, utama",N3
需要,じゅよう,permintaan,N3
種類,しゅるい,"variasi, jenis",N3
順,じゅん,"urutan, giliran",N3
瞬間,しゅんかん,"saat, detik",N3
順調,じゅんちょう,berjalan dengan baik,N3
順番,じゅんばん,"giliran (dalam antrian), urutan hal",N3
使用,しよう,"penggunaan (sama dengan 使うこと (つかうこと)), aplikasi, pekerjaan, pemanfaatan",N3
小,しょう,kecil,N3
章,しょう,"bab, bagian; medali",N3
賞,しょう,"hadiah, penghargaan",N3
上,じょう,volume pertama; kualitas unggul; pemerintah,N3
障害,しょうがい,"rintangan, halangan",N3
奨学金,しょうがくきん,beasiswa,N3
乗客,じょうきゃく,penumpang,N3
上京,じょうきょう,melanjutkan ke ibu kota (Tokyo),N3
状況,じょうきょう,"keadaan, situasi",N3
条件,じょうけん,"kondisi, syarat",N3
正午,しょうご,"siang, tengah hari",N3
正直,しょうじき,"kejujuran, integritas, kejujuran",N3
常識,じょうしき,akal sehat,N3
少女,しょうじょ,gadis muda,N3
少々,しょうしょう,sedikit; singkat (waktu) (formal untuk 少し (すこし)),N3
症状,しょうじょう,"gejala, kondisi",N3
生じる,しょうじる,"terjadi, timbul, dihasilkan",N3
状態,じょうたい,"kondisi, situasi",N3
上達,じょうたつ,"perbaikan, kemajuan",N3
冗談,じょうだん,lelucon,N3
上等,じょうとう,"kelas satu, sangat bagus",N3
衝突,しょうとつ,"tabrakan, konflik",N3
商人,しょうにん,"pedagang, pemilik toko, saudagar",N3
承認,しょうにん,"pengakuan, persetujuan",N3
少年,しょうねん,"anak laki-laki, remaja",N3
商売,しょうばい,"perdagangan, bisnis, perdagangan",N3
消費,しょうひ,"konsumsi, pengeluaran",N3
商品,しょうひん,"komoditas, barang dagangan",N3
賞品,しょうひん,"hadiah, piala",N3
消防,しょうぼう,"pemadam kebakaran, dinas pemadam kebakaran",N3
情報,じょうほう,"informasi, intelijen (militer)",N3
証明,しょうめい,"bukti, verifikasi",N3
省略,しょうりゃく,"penghilangan, singkatan, penyingkatan",N3
女王,じょおう,ratu,N3
職,しょく,pekerjaan,N3
職業,しょくぎょう,"pekerjaan, bisnis",N3
食卓,しょくたく,meja makan,N3
食品,しょくひん,bahan makanan,N3
植物,しょくぶつ,"tanaman, tumbuh-tumbuhan",N3
食物,しょくもつ,"makanan, bahan makanan",N3
食欲,しょくよく,nafsu makan (untuk makanan),N3
食料,しょくりょう,makanan,N3
食糧,しょくりょう,"perbekalan, ransum",N3
書斎,しょさい,"ruang belajar, ruang kerja",N3
女子,じょし,"wanita, gadis",N3
助手,じょしゅ,"pembantu, asisten",N3
徐々に,じょじょに,"perlahan, sedikit demi sedikit",N3
署名,しょめい,tanda tangan,N3
書物,しょもつ,buku,N3
女優,じょゆう,aktris,N3
処理,しょり,"pengolahan, pengobatan, pembuangan",N3
書類,しょるい,"dokumen, surat-surat resmi",N3
知らせ,しらせ,pemberitahuan,N3
尻,しり,"pantat, bokong",N3
知合い,しりあい,kenalan,N3
印,しるし,tanda; simbol; bukti,N3
城,しろ,kastil,N3
進学,しんがく,melanjutkan ke universitas,N3
神経,しんけい,"saraf, kepekaan",N3
真剣,しんけん,"keseriusan, kesungguhan",N3
信仰,しんこう,"iman (agama), kepercayaan",N3
信号,しんごう,"lampu lalu lintas, sinyal, semafor",N3
人工,じんこう,"buatan, buatan manusia, karya manusia,",N3
深刻,しんこく,serius,N3
診察,しんさつ,pemeriksaan medis (pasien),N3
人種,じんしゅ,ras (manusia),N3
信じる,しんじる,percaya,N3
人生,じんせい,"hidup (manusia) (misalnya, konsepsi hingga kematian)",N3
親戚,しんせき,kerabat,N3
新鮮,しんせん,segar,N3
心臓,しんぞう,jantung,N3
身体,しんたい,tubuh,N3
身長,しんちょう,"tinggi (badan), perawakan",N3
慎重,しんちょう,"hati-hati, bijaksana, hati-hati",N3
審判,しんぱん,"wasit, wasit, penghakiman",N3
人物,じんぶつ,"karakter, kepribadian, orang berbakat",N3
進歩,しんぽ,"perbaikan, kemajuan, perkembangan",N3
親友,しんゆう,"sahabat karib, sahabat",N3
信用,しんよう,"kepercayaan, ketergantungan",N3
信頼,しんらい,"ketergantungan, kepercayaan, keyakinan",N3
心理,しんり,mentalitas,N3
人類,じんるい,"umat manusia, kemanusiaan",N3
巣,す,"sarang, tempat berkembang biak",N3
酢,す,cuka,N3
図,ず,"gambar, gambar, ilustrasi",N3
水準,すいじゅん,"tingkat, standar",N3
推薦,すいせん,rekomendasi,N3
スイッチ,スイッチ,sakelar,N3
睡眠,すいみん,tidur,N3
数,すう,"angka, gambar",N3
数字,すうじ,"angka, gambar",N3
スープ,スープ,sup (Barat),N3
末,すえ,"akhir dari, bubuk",N3
姿,すがた,"gambar, bentuk, penampilan",N3
スキー,スキー,ski,N3
救う,すくう,"menyelamatkan dari, membantu keluar dari",N3
すくなくとも,すくなくとも,setidaknya,N3
優れる,すぐれる,"melampaui, melampaui, unggul",N3
スケート,スケート,"skate, skating",N3
スケジュール,スケジュール,jadwal,N3
少しも,すこしも,"apa pun, tidak sedikit pun",N3
過ごす,すごす,"melewati, menghabiskan (waktu)",N3
筋,すじ,"otot, tali, garis",N3
進める,すすめる,"memajukan, mempromosikan, mempercepat",N3
勧める,すすめる,"mendesak (seseorang) untuk melakukan (sesuatu), merekomendasikan",N3
スター,スター,bintang,N3
スタイル,スタイル,gaya,N3
スタンド,スタンド,berdiri,N3
頭痛,ずつう,sakit kepala,N3
ずっと,ずっと,untuk waktu yang lama; sepanjang waktu; berturut-turut,N3
すっぱい,すっぱい,"asam, asam",N3
すてき,すてき,"indah, hebat",N3
既に,すでに,sudah (sama dengan もう),N3
すなわち,すなわち,"yaitu, yaitu, misalnya",N3
スピーチ,スピーチ,pidato,N3
全て,すべて,"semua, seluruh, seluruhnya",N3
済ませる,すませる,selesai,N3
角,すみ,sudut,N3
墨,すみ,tinta,N3
すみません (かん),すみません (かん),"maaf, permisi",N3
澄む,すむ,"menjadi jernih (misalnya cuaca), menjadi transparan",N3
清む,すむ,"menjadi jernih (misalnya cuaca), menjadi transparan",N3
刷る,する,mencetak,N3
為る,する,"melakukan, mencoba",N3
鋭い,するどい,"runcing, tajam",N3
すれ違う,すれちがう,saling berpapasan,N3
ずれる,ずれる,"bergerak, keluar dari topik",N3
正,せい,"(logis) benar, teratur",N3
生,せい,kelahiran,N3
性,せい,"jenis kelamin, gender",N3
姓,せい,"nama keluarga, nama keluarga",N3
所為,せい,"sebab, alasan, kesalahan",N3
税,ぜい,pajak,N3
性格,せいかく,"karakter, kepribadian",N3
正確,せいかく,"akurat, tepat waktu, tepat",N3
世紀,せいき,abad,N3
請求,せいきゅう,"klaim, tuntutan, permintaan",N3
税金,ぜいきん,"pajak, bea",N3
清潔,せいけつ,bersih,N3
制限,せいげん,"pembatasan, pengekangan, batasan",N3
成功,せいこう,"sukses, berhasil",N3
正式,せいしき,"resmi, formal",N3
性質,せいしつ,"sifat, properti, watak",N3
精神,せいしん,"pikiran, jiwa, roh",N3
成人,せいじん,dewasa,N3
精々,せいぜい,"paling banyak, paling baik",N3
成績,せいせき,"nilai (yaitu, pada tes), catatan akademik",N3
製造,せいぞう,"manufaktur, produksi",N3
贅沢,ぜいたく,"kemewahan, pemborosan",N3
成長,せいちょう,pertumbuhan,N3
生長,せいちょう,pertumbuhan,N3
制度,せいど,"sistem, institusi",N3
青年,せいねん,"pemuda, pemuda",N3
生年月日,せいねんがっぴ,tanggal lahir,N3
製品,せいひん,"barang manufaktur, barang jadi",N3
政府,せいふ,"pemerintah, administrasi",N3
生物,せいぶつ,"makhluk hidup, organisme",N3
生命,せいめい,hidup,N3
整理,せいり,"penyortiran, pengaturan",N3
咳,せき,batuk,N3
石炭,せきたん,batu bara,N3
責任,せきにん,"tugas, tanggung jawab",N3
石油,せきゆ,"minyak, minyak bumi, minyak tanah",N3
世間,せけん,"dunia, masyarakat",N3
説,せつ,teori,N3
積極的,せっきょくてき,"positif, aktif, proaktif",N3
設計,せっけい,"rencana, desain",N3
絶対,ぜったい,"pasti, tanpa gagal, kemutlakan",N3
セット,セット,set,N3
愛,あい,cinta,N3
相変わらず,あいかわらず,"seperti biasa, seperti biasa",N3
愛情,あいじょう,"cinta, kasih sayang",N3
合図,あいず,"tanda, sinyal",N3
アイスクリーム,アイスクリーム,es krim,N3
愛する,あいする,mencintai,N3
相手,あいて,pasangan; penerima; orang yang Anda ajak bicara,N3
あいにく,あいにく,sayangnya,N3
遭う,あう,"bertemu, menghadapi (nuansa yang tidak diinginkan)",N3
アウト,アウト,keluar,N3
明かり,あかり,"cahaya lampu, cahaya (secara umum)",N3
空き,あき,"lowongan, bukaan, ruang",N3
明らか,あきらか,"jelas, jelas",N3
諦める,あきらめる,"menyerah, meninggalkan",N3
飽きる,あきる,"bosan, kehilangan minat",N3
握手,あくしゅ,jabat tangan,N3
悪魔,あくま,"iblis, setan, roh jahat",N3
明ける,あける,"fajar, menjadi terang",N3
揚げる,あげる,"mengangkat, menggoreng",N3
挙げる,あげる,"mengangkat; mendaftar, mengutip",N3
預かる,あずかる,menyimpan (sesuatu) untuk (seseorang),N3
預ける,あずける,"memberi ke dalam tahanan, menyetor",N3
汗,あせ,"keringat, keringat",N3
与える,あたえる,memberi,N3
温かい,あたたかい,hangat,N3
暖まる,あたたまる,menjadi hangat,N3
温まる,あたたまる,"menghangatkan diri, menjadi hangat",N3
暖める,あたためる,"menghangatkan (hingga seseorang/sesuatu), memanaskan (hingga seseorang/sesuatu)",N3
温める,あたためる,"menghangatkan, memanaskan",N3
辺り,あたり,"sekitar, di dekat",N3
当たり前,あたりまえ,"biasa, umum, jelas",N3
当たる,あたる,"terkena, berhasil",N3
あちこち,あちこち,di sana-sini,N3
扱う,あつかう,"merawat, menangani, berurusan dengan",N3
集まり,あつまり,"perkumpulan, pertemuan, koleksi",N3
当てる,あてる,memukul; menerapkan pada,N3
跡,あと,jejak; sisa; bekas luka,N3
穴,あな,lubang,N3
油,あぶら,minyak,N3
脂,あぶら,lemak,N3
誤り,あやまり,kesalahan,N3
粗,あら,"cacat, kekurangan, kesalahan",N3
嵐,あらし,badai,N3
争う,あらそう,"berselisih, berdebat, berkelahi",N3
新た,あらた,"baru, segar",N3
あらゆる,あらゆる,"semua, setiap",N3
表す,あらわす,"mengekspresikan, menunjukkan",N3
現す,あらわす,"menunjukkan, muncul, mengungkapkan",N3
著す,あらわす,"menulis, menerbitkan",N3
現れ,あらわれ,"ekspresi, indikasi, tanda",N3
現れる,あらわれる,"muncul (intransitif), menjadi terlihat; mengekspresikan",N3
ありがとう,ありがとう,Terima kasih,N3
在る; 有る,ある,"hidup, menjadi, ada",N3
或,ある,"tertentu..., beberapa...",N3
あるいは,あるいは,"atau, mungkin",N3
アルバム,アルバム,album,N3
泡,あわ,"gelembung, busa",N3
合わせる,あわせる,menggabungkan,N3
慌てる,あわてる,menjadi bingung, panik,N3
哀れ,あわれ,"tak berdaya, kasihan, menyedihkan",N3
案,あん,"rencana, skema, usulan",N3
案外,あんがい,tidak terduga,N3
暗記,あんき,"menghafal, belajar dengan menghafal",N3
安定,あんてい,"stabilitas, keseimbangan",N3
あんなに,あんなに,"sejauh itu, sejauh itu",N3
あんまり,あんまり,"tidak begitu, tidak banyak",N3
胃,い,perut,N3
委員,いいん,anggota komite,N3
意外,いがい,"tidak terduga, mengejutkan",N3
行き,いき,pergi,N3
行き,ゆき,pergi,N3
息,いき,napas,N3
勢い,いきおい,"kekuatan, semangat, momentum",N3
生き物,いきもの,"makhluk hidup, makhluk",N3
いけない,いけない,"tidak boleh, buruk, salah",N3
医師,いし,"dokter, tabib",N3
意思,いし,"niat, tujuan",N3
意志,いし,"kemauan, kehendak",N3
維持,いじ,"pemeliharaan, pelestarian",N3
意識,いしき,"kesadaran, indra",N3
異常,いじょう,"keanehan, kelainan, gangguan",N3
意地悪,いじわる,"jahat, kejam, tidak baik",N3
泉,いずみ,"mata air, air mancur",N3
いずれ,いずれ,"di mana, yang mana, siapa",N3
以前,いぜん,di masa lalu; sebelum,N3
板,いた,"papan, papan",N3
偉大,いだい,kebesaran,N3
抱く,いだく,"memegang (transitif) (ekspresi tertulis), memeluk, memendam",N3
いたずら,いたずら,"lelucon, lelucon praktis",N3
いただきます,いただきます,ungkapan terima kasih sebelum makan,N3
痛み,いたみ,"sakit, nyeri, pegal",N3
至る,いたる,"datang, tiba",N3
市,いち,"pasar, pameran",N3
位置,いち,"tempat, posisi",N3
一時,いちじ,"untuk sementara, sementara",N3
一度に,いちどに,sekaligus,N3
市場,いちば,"pasar, bazar",N3
いつか,いつか,"suatu saat, suatu hari",N3
一家,いっか,"keluarga, klan",N3
一種,いっしゅ,"spesies, jenis, varietas",N3
一瞬,いっしゅん,"sesaat, sekejap",N3
一生,いっしょう,sepanjang hidup (seseorang),N3
一層,いっそう,"jauh lebih, masih lebih",N3
一体,いったい,"satu objek; tubuh; apa-apaan?; umumnya",N3
一致,いっち,persetujuan; kesesuaian,N3
いつでも,いつでも,"kapan saja, selalu",N3
いつのまにか,いつのまにか,tanpa disadari,N3
一般,いっぱん,"umum, rata-rata",N3
一方,いっぽう,di sisi lain; sementara itu,N3
いつまでも,いつまでも,"selamanya, untuk selamanya, abadi",N3
移動,いどう,"migrasi, pergerakan",N3
従兄弟,いとこ,sepupu (laki-laki),N3
従姉妹,いとこ,sepupu (perempuan),N3
稲,いね,tanaman padi,N3
居眠り,いねむり,"mengantuk, tertidur",N3
命,いのち,hidup,N3
違反,いはん,"pelanggaran (hukum), pelanggaran",N3
衣服,いふく,pakaian,N3
居間,いま,ruang tamu,N3
